row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Aleppo,,,,Aleppo,http://vocab.getty.edu/tgn/7002252,Q3095
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Herat,,,,Herat,http://vocab.getty.edu/tgn/7002243,Q3092
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Jerusalem?,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z","Constantinople, [",,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Iran?,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Aḥmadābād,Ahmadābād,http://vocab.getty.edu/tgn/7001494,,,,
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Istanbul?,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605,,,
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Agra,,,,Āgra,http://vocab.getty.edu/tgn/7001493,Q27477
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Dūmā,Dūmā,http://vocab.getty.edu/tgn/1085132,,,,
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",1669,,,,,,
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Jerusalem,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2025-12-23T14:48:24.829078600Z | PLACE RECON, STEP 3: START RECON 2025-12-23T14:48:39.060513700Z | PLACE RECON, STEP 4: ADD LABELS AND IDs 2025-12-23T14:52:13.750157100Z | PLACE RECON, STEP 6: ADD DS QIDs & FINALIZE 2025-12-23T14:52:32.655795600Z",Yemen?,,,,Yemen,http://vocab.getty.edu/tgn/7000261,Q2825
