holding_institution,shelfmark,iiif_manifest_url
kansas,MS 9/1:A16,https://iiif.archivelab.org/iiif/images_1A16_30/manifest.json
kansas,MS 9/1:A17,https://iiif.archivelab.org/iiif/images_1A17_30/manifest.json
kansas,MS 9/1:A18,https://iiif.archivelab.org/iiif/images_1A18_30/manifest.json
kansas,MS 9/1:A19,https://iiif.archivelab.org/iiif/images_1A19_30/manifest.json
kansas,MS 9/1:A1,https://iiif.archivelab.org/iiif/images_1A1_30/manifest.json
kansas,MS 9/1:A20,https://iiif.archivelab.org/iiif/images_1A20_30/manifest.json
kansas,MS 9/1:A21,https://iiif.archivelab.org/iiif/images_1A21_30/manifest.json
kansas,MS 9/1:A22,https://iiif.archivelab.org/iiif/images_1A22_30/manifest.json
kansas,MS 9/1:A23,https://iiif.archivelab.org/iiif/images_1A23_30/manifest.json
kansas,MS 9/1:A24,https://iiif.archivelab.org/iiif/images_1A24_30/manifest.json
kansas,MS 9/1:A2,https://iiif.archivelab.org/iiif/images_1A2_30/manifest.json
kansas,MS 9/1:A3,https://iiif.archivelab.org/iiif/images_1A3_30/manifest.json
kansas,MS 9/1:A4,https://iiif.archivelab.org/iiif/images_1A4_30/manifest.json
kansas,MS 9/1:A5,https://iiif.archivelab.org/iiif/images_1A5_30/manifest.json
kansas,MS 9/1:A6,https://iiif.archivelab.org/iiif/images_1A6_30/manifest.json
kansas,MS 9/1:A7,https://iiif.archivelab.org/iiif/images_1A7_30/manifest.json
kansas,MS 9/1:A8,https://iiif.archivelab.org/iiif/images_1A8_30/manifest.json
kansas,MS 9/1:A9,https://iiif.archivelab.org/iiif/images_1A9_30/manifest.json
kansas,MS 9/1:B10,https://iiif.archivelab.org/iiif/images_1B10_30/manifest.json
kansas,MS 9/1:B1,https://iiif.archivelab.org/iiif/images_1B1_30/manifest.json
kansas,MS 9/1:B3,https://iiif.archivelab.org/iiif/images_1B3_30/manifest.json
kansas,MS 9/1:B4,https://iiif.archivelab.org/iiif/images_1B4_30/manifest.json
kansas,MS 9/1:B5,https://iiif.archivelab.org/iiif/images_1B5_30/manifest.json
kansas,MS 9/1:B6,https://iiif.archivelab.org/iiif/images_1B6_30/manifest.json
kansas,MS 9/1:B7,https://iiif.archivelab.org/iiif/images_1B7_30/manifest.json
kansas,MS 9/1:B9,https://iiif.archivelab.org/iiif/images_1B9_30/manifest.json
kansas,MS 9/1:C1,https://iiif.archivelab.org/iiif/images_1C1_30/manifest.json
kansas,MS 9/1:C3,https://iiif.archivelab.org/iiif/images_1C3_30/manifest.json
kansas,MS 9/1:C4,https://iiif.archivelab.org/iiif/images_1C4_30/manifest.json
kansas,MS 9/2:10,https://iiif.archivelab.org/iiif/images_210_30/manifest.json
kansas,MS 9/2:12,https://iiif.archivelab.org/iiif/images_212_30/manifest.json
kansas,MS 9/2:13,https://iiif.archivelab.org/iiif/images_213_30/manifest.json
kansas,MS 9/2:14,https://iiif.archivelab.org/iiif/images_214_30/manifest.json
kansas,MS 9/2:15,https://iiif.archivelab.org/iiif/images_215_30/manifest.json
kansas,MS 9/2:16,https://iiif.archivelab.org/iiif/images_216_30/manifest.json
kansas,MS 9/2:17,https://iiif.archivelab.org/iiif/images_217_30/manifest.json
kansas,MS 9/2:18,https://iiif.archivelab.org/iiif/images_218_30/manifest.json
kansas,MS 9/2:19,https://iiif.archivelab.org/iiif/images_219_30/manifest.json
kansas,MS 9/2:1,https://iiif.archivelab.org/iiif/images_21_30/manifest.json
kansas,MS 9/2:20,https://iiif.archivelab.org/iiif/images_220_30/manifest.json
kansas,MS 9/2:24,https://iiif.archivelab.org/iiif/images_224_30/manifest.json
