record,recordLabel,dateString,earliestDate,latestDate,languages,genres,subjects
https://catalog.digital-scriptorium.org/entity/Q60433,Hikaye-yi kırk vezir (DS14450),1606,1606,1606,Ottoman Turkish,,"Manuscripts, Turkish|New Jersey--Princeton"
https://catalog.digital-scriptorium.org/entity/Q5615,Ledger of Medici accounts (DS1037),1597-1606.,1597,1606,Italian,,"Italy|Accounting|Sixteenth century|Medici, House of|Archives|Medici, Vincenzo de'"
https://catalog.digital-scriptorium.org/entity/Q16155,Nansŏrhŏn chip (DS3280),no earlier than 1606,1606,1606,,,
https://catalog.digital-scriptorium.org/entity/Q9156,"Reports, letters, discourses and treaties (DS1582)",1597-ca. 1606,1597,1606,Italian,,"Astrology|Early works|Catholic Church|Italy--Venice|Controversial literature|International relations|Poland|History|Paul V, Pope, 1552-1621|Clement VIII, Pope, 1536-1605|Church and state"
https://catalog.digital-scriptorium.org/entity/Q53334,En el pleyto que se trata en el Real Consejo supremo de Castilla ... (DS12508),1607 September.,1607,1607,Latin|Spanish,,"Manuscripts, Latin|Specimens|Manuscripts|California--Berkeley|Spain--Cuenca"
https://catalog.digital-scriptorium.org/entity/Q18097,"Indenture, 1607 May 12, between John Williams of London and Richard Shelly of Itchingfield (Etchingfield), Sussex regarding the transfer of a tenement in St. John's Street in Clerkenwell, London : (DS3922)",1607 May 12,1607,1607,,,
https://catalog.digital-scriptorium.org/entity/Q113578,Kanz al-daqāʼiq (DS30121),A.H. 1015 (1607),1607,1607,Arabic,,Early works|Hanafites|Islamic law
https://catalog.digital-scriptorium.org/entity/Q111118,Kitāb Qurrat ʻuyūn dhawī al-afhām bi-sharḥ Muqaddamat Shaykh al-Islām / (DS29301),"24 Dhū al-Ḥijjah 1015 [April 22, 1607",1607,1607,Arabic,,"Praise--Religious aspects--Islam|Manuscripts, Arabic|Early works|Islam|Basmalah|New Jersey--Princeton|Eulogies"
https://catalog.digital-scriptorium.org/entity/Q54060,Sucesos notables (DS12750),approximately 1600-1607.,1600,1607,Spanish,,"Manuscripts, Spanish|Early works|Sixteenth century|Spain|History|Manuscripts|Cronica general de España (Ocampo, Florián de)|Descripción de las Indias Occidentales (Herrera y Tordesillas, Antonio de)|California--Berkeley|History, Modern"
https://catalog.digital-scriptorium.org/entity/Q59674,Tarih-i Nişancı (DS14197),1607,1607,1607,Ottoman Turkish,,"Early works|Manuscripts, Turkish|Turkey|History|New Jersey--Princeton|Islamic Empire"
https://catalog.digital-scriptorium.org/entity/Q110953,al-Insān al-kāmil fī maʻrifat al-awākhir wa-al-awāʼil (DS29246),1607,1607,1607,Arabic,,"Manuscripts, Arabic|Early works|Sufism--Doctrines|New Jersey--Princeton|God (Islam)--Attributes|God (Islam)--Knowableness"
https://catalog.digital-scriptorium.org/entity/Q61990,al-Misbāḥ fī al-jamʻ bayna al-Afʻāl wa-al-Ṣiḥāḥ fī al-lughah ... [etc. (DS14969),1607,1607,1607,Arabic,,"Manuscripts, Arabic|Early works|Arabic language--Grammar|Arabic language--Verb|Arabic language--Particles|New Jersey--Princeton|Kitāb (Sībawayh, ʻAmr ibn ʻUthmān)|Arabic language--Lexicography"
https://catalog.digital-scriptorium.org/entity/Q109457,Ṣuwar al-kawākib (DS28923),1607,1607,1607,Arabic,,"Early works|Astronomy, Arab|Pictorial works|Manuscripts, Arabic|Constellations--Names|Stars--Names|New Jersey--Princeton|Constellations|Atlases"
https://catalog.digital-scriptorium.org/entity/Q84371,"10-12, 15 Charles I - Interregnum (paper) (DS20882)",1590; 1594-1595; 1598-1599; 1601-1608,1590,1608,,,
https://catalog.digital-scriptorium.org/entity/Q84893,41 Elizabeth - 6 James I (DS21056),1599-1608,1599,1608,,,
https://catalog.digital-scriptorium.org/entity/Q43692,Astrolabium (DS9896),1608,1608,1608,German,,Astronomy|Astrology|Early works|Astrolabes
https://catalog.digital-scriptorium.org/entity/Q14694,Kitāb Fatḥ al-mubdiʻ fī sharḥ al-Muqniʻ / (DS2793),"22 Shaʻbān 1017 [December 1, 1608?",1608,1608,Arabic,,"Manuscripts, Arabic|Early works|Mathematics, Arab|Algebra|New Jersey--Princeton|Muqniʻ fī ʻilm al-jabr wa-al-muqābalah (Ibn al-Hāʼim, Aḥmad ibn Muḥammad)"
https://catalog.digital-scriptorium.org/entity/Q53925,"Papel de D. Mauro de Castella Ferrer auctor del libro intitulado Historia del apostal Santiago, scrito a D.P. Fernandez de Velasco conde stable de Castilla, sobre la venida de Santiago a Hespaña (DS12705)",1608 October 17.,1608,1608,Latin|Spanish,,"James, the Greater, Saint|Manuscripts, Spanish|Specimens|History|Catholic Church|Spain|Manuscripts|Church history|Catholic Church. Province of Santiago de Compostela (Spain)|Spain--Galicia (Region)|Callistus II, Pope, -1124|Spain--Santiago de Compostela"
https://catalog.digital-scriptorium.org/entity/Q109451,Tawḍīḥ al-tadhkirah al-Naṣīrīyah / (DS28921),1608,1608,1608,Arabic,,"Manuscripts, Arabic|Early works|Astronomy, Arab|New Jersey--Princeton|Tadhkirah fī ʻilm al-hayʼah (Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad)"
https://catalog.digital-scriptorium.org/entity/Q91359,"Undated; 1. Henry Woodhowse at Waxham 2. Sir Nicholas Bacon his lovinge brother; Endorsed: ""...for the purchase of the Moyitie of the Manor of Ingham"" (Watermark) (DS23211)",1583 circa,1558,1608,,,
https://catalog.digital-scriptorium.org/entity/Q91362,"Undated; 1. Henry Woodhowse from Waxham 2. Sir Nicholas Bacon, his loving brother; Re: purchase of Ingham Manor?(Watermark) (DS23212)",1583 circa,1558,1608,,,
https://catalog.digital-scriptorium.org/entity/Q105535,al-Mujallad al-awwal min Dhikrá al-shīʻah (DS27735),1608,1608,1608,Arabic,,"Fourteenth century|Manuscripts, Arabic|Sources|Islamic law|History|New Jersey--Princeton|Shīʻah--Doctrines"
https://catalog.digital-scriptorium.org/entity/Q107988,al-Urjūzah al-Shaqrūnīyah fī ʻilm al-ṭibb (DS28496),1600-1608,1600,1608,Arabic,,"Medicine, Arab"
https://catalog.digital-scriptorium.org/entity/Q18046,"Carta ejecutoria de Hidalguia granted in favor of Diego de Alarcón Quintana de la Villa de la Torre and his sons, unnamed : (DS3905)",1609,1609,1609,English|Spanish,,Kings and rulers
https://catalog.digital-scriptorium.org/entity/Q69487,Garabed Gospels (DS16598),1609.,1609,1609,Armenian,,"Manuscripts, Armenian|Bible. New Testament|Manuscripts"
https://catalog.digital-scriptorium.org/entity/Q112993,Kitāb al-Mawāqif fī uṣūl al-dīn / (DS29926),1609,1609,1609,Arabic,,"Manuscripts, Arabic|Fourteenth century|Islam--Doctrines|New Jersey--Princeton"
https://catalog.digital-scriptorium.org/entity/Q5432,Notarial documents (DS994),1559-1609.,1559,1609,Latin|Italian,,Real property|Italy|Sixteenth century|Seventeenth century|Italy--Pinerolo|History
https://catalog.digital-scriptorium.org/entity/Q10191,Sangalletti family accounts (DS1927),1570-1609.,1570,1609,Italian,,"Textile industry|Italy|Farm management|Home economics--Accounting|Mancini, Girolamo, 1832-1924|Italy--Rome|Accounting|Early works|Sixteenth century|Seventeenth century|Banks and banking|Civil law|Inheritance and succession|Italy--Florence"
https://catalog.digital-scriptorium.org/entity/Q14484,Tuḥfat al-wujūd fī manāqib Abī al-Suʻūd (DS2723),"18 Muḥarram 1018 [May 3, 1609",1609,1609,Arabic,,"Biographies|Muslim scholars|New Jersey--Princeton|Manuscripts, Arabic"
https://catalog.digital-scriptorium.org/entity/Q89973,Undated; 1. Thristrain Conyers 2. Sir Nicholas Bacon; £22-10-0; Bill due at All Saints 1584 for part of a fyne of liverie (DS22749),1584 circa,1559,1609,,,
https://catalog.digital-scriptorium.org/entity/Q78737,"Ḥalone sheḳufim aṭumim; pesaḳim me-Ḥakhme Rabane gelilot Italia Ashkenazim, Sefaradim ṿe-Italiani asher katvu be-ʻenian ha-riv ben yorshe ha-manoḥ Shemuel Tsadiḳ ve-Yosef ben Yitsḥaḳ Ḳorḳos ʻal... (DS19004)",1609.,1609,1609,Hebrew,,Early works|Jewish law
https://catalog.digital-scriptorium.org/entity/Q84272,39 Elizabeth renewed 8 James I (Rental; Paper) (DS20849),1597; 1610,1597,1610,,,
